"","target.risk","target.return"
"1",0.0260363560062205,0.0424662534184333
"2",0.0239398965669459,0.0444968569098155
"3",0.0228198735575188,0.0465274610339942
"4",0.0226363797057765,0.0485580651581729
"5",0.0227468238107895,0.0505886692823516
"6",0.0230750571145624,0.0526192734065304
"7",0.0236211617762501,0.0546498775307091
"8",0.0244225286481231,0.0566804816548878
"9",0.0255010276864349,0.0587110857790665
"10",0.0268232512225412,0.0607416899032452
"11",0.028355124489554,0.0627722940274239
"12",0.030064617893397,0.0648028981516026
"13",0.0319232094082212,0.0668335022757813
"14",0.033906389285113,0.06886410639996
"15",0.0359935696392206,0.0708947105241388
"16",0.0381676926467992,0.0729253146483175
"17",0.0404147294210285,0.0749559187724962
"18",0.0427231767540369,0.0769865228966749
"19",0.0450836022887006,0.0790171270208536
"20",0.0474882558563913,0.0810477311450323
"21",0.0499307478296265,0.083078335269211
"22",0.0524057878383364,0.0851089393933897
"23",0.0549090540261939,0.0871395435175685
"24",0.0574533891394847,0.0891701476417472
"25",0.0600455841919303,0.0912007517659259
"26",0.0626797015473341,0.0932313558901046
"27",0.0653506720619697,0.0952619600142833
"28",0.0680541566666938,0.0972925641384621
"29",0.0707864301123757,0.0993231682626408
"30",0.0735442838313703,0.10135377238682
"31",0.0763249449934921,0.103384376510998
"32",0.0791260091248484,0.105414980635177
"33",0.0819453840040253,0.107445584759356
"34",0.0847812428953732,0.109476188883534
"35",0.087631985496033,0.111506793007713
"36",0.0904962052510775,0.113537397131892
"37",0.0933726619278305,0.11556800125607
"38",0.0962602585385488,0.117598605380249
"39",0.0991580218646133,0.119629209504428
"40",0.102065085970049,0.121659813628607
"41",0.104980678202322,0.123690417752785
"42",0.107904107268172,0.125721021876964
"43",0.110834753045415,0.127751626001143
"44",0.113772057851262,0.129782230125322
"45",0.116715518936254,0.1318128342495
"46",0.119664682012625,0.133843438373679
"47",0.122619135658274,0.135874042497858
"48",0.125578506464112,0.137904646622036
"49",0.128542454814382,0.139935250746215
"50",0.131510668113076,0.141965852754938
