Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,4.627500,4.740000,3.787500,3.847500,3.530452,1289849200
2010-02-01,3.862500,4.475000,3.830000,4.050000,3.716265,1286132400
2010-03-01,4.052500,4.585000,4.020000,4.350000,3.991543,1174781600
2010-04-01,4.370000,4.532500,3.925000,3.927500,3.603859,1710998000
2010-05-01,3.947500,3.970000,2.962500,3.285000,3.014304,2077272000
2010-06-01,3.240000,3.277500,2.552500,2.552500,2.342165,1369259200
2010-07-01,2.560000,2.870000,2.230000,2.297500,2.108178,1923656800
2010-08-01,2.337500,2.562500,2.162500,2.332500,2.140293,1941285600
2010-09-01,2.367500,3.090000,2.335000,2.920000,2.679382,1753316400
2010-10-01,2.962500,3.060000,2.595000,3.005000,2.757377,1580318400
2010-11-01,3.025000,3.460000,2.985000,3.402500,3.122122,1453930000
2010-12-01,3.470000,3.855000,3.465000,3.850000,3.532747,1120413600
2011-01-01,3.880000,6.262500,3.855000,5.980000,5.487226,3273688400
2011-02-01,6.032500,6.542500,5.445000,5.665000,5.198183,2402576400
2011-03-01,5.675000,5.747500,4.252500,4.615000,4.234707,2759758000
2011-04-01,4.675000,5.110000,4.207500,5.000000,4.587982,1532207200
2011-05-01,5.105000,5.130000,4.280000,5.010000,4.597158,1716251600
2011-06-01,4.987500,4.995000,3.715000,3.985000,3.656622,1595378400
2011-07-01,3.985000,4.070000,3.397500,3.457500,3.172589,1455165600
2011-08-01,3.537500,3.845000,2.912500,3.327500,3.053303,2257190400
2011-09-01,3.372500,4.025000,3.095000,3.127500,2.869783,2008474000
2011-10-01,3.087500,3.972500,2.867500,3.700000,3.395107,1485136400
2011-11-01,3.565000,3.917500,3.375000,3.907500,3.585507,1616603200
2011-12-01,3.875000,4.012500,3.277500,3.465000,3.179471,974234000
2012-01-01,3.575000,3.810000,3.375000,3.692500,3.388226,1159666800
2012-02-01,3.735000,4.225000,3.682500,3.787500,3.475396,1307829600
2012-03-01,3.802500,3.900000,3.560000,3.850000,3.532747,1032524400
2012-04-01,3.840000,3.872500,3.187500,3.250000,2.982188,955092400
2012-05-01,3.232500,3.420000,2.957500,3.107500,2.851431,1137001200
2012-06-01,3.042500,3.462500,2.907500,3.455000,3.170295,1152936800
